Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500209,,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity
500463,,AGCNET,AGC Networks Limited,Active,T ,10.00,INE676A01019,IT Consulting & Software,Equity
504067,,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,IT Consulting & Software,Equity
504351,,EMPOWER,EMPOWER INDIA LTD.,Active,X ,1.00,INE507F01023,IT Consulting & Software,Equity
504375,,SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.,Active,P ,10.00,INE459E01012,IT Consulting & Software,Equity
505504,,SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.,Active,P ,10.00, ,IT Consulting & Software,Equity
507685,,WIPRO,WIPRO LTD.,Active,A ,2.00,INE075A01022,IT Consulting & Software,Equity
512175,,VAMA,VAMA INDUSTRIES LTD.,Active,X ,2.00,INE685D01022,IT Consulting & Software,Equity
517536,,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,Active,B ,10.00,INE229A01017,IT Consulting & Software,Equity
517562,,TRIGYN,TRIGYN TECHNOLOGIES LTD.,Active,B ,10.00,INE948A01012,IT Consulting & Software,Equity
526299,,MPHASIS,MPHASIS LTD.,Active,A ,10.00,INE356A01018,IT Consulting & Software,Equity
526433,,ASMTEC,ASM TECHNOLOGIES LTD.,Active,X ,10.00,INE867C01010,IT Consulting & Software,Equity
526881,,63MOONS,63 Moons Technologies Ltd,Active,B ,2.00,INE111B01023,IT Consulting & Software,Equity
530713,,AJEL,AJEL LTD.,Active,Z ,10.00,INE229B01015,IT Consulting & Software,Equity
531370,,SPARCSYS,SPARC SYSTEMS LTD.,Active,X ,10.00,INE960B01015,IT Consulting & Software,Equity
531439,,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Active,B ,10.00,INE805A01014,IT Consulting & Software,Equity
531533,,ECOM,E.COM INFOTECH (I) LTD.,Active,XT,10.00,INE578B01015,IT Consulting & Software,Equity
531616,,STARCOM,Starcom Information Technology Ltd,Active,XT,10.00,INE347I01010,IT Consulting & Software,Equity
531677,,ARISINT,ARIS INTERNATIONAL LTD.,Active,P ,10.00,INE588E01026,IT Consulting & Software,Equity
531980,,SENINFO,Senthil Infotek Ltd,Active,XT,10.00,INE564B01015,IT Consulting & Software,Equity
532129,,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,Active,A ,2.00,INE093A01033,IT Consulting & Software,Equity
532172,,ADROITINFO,Adroit Infotech Ltd,Active,B ,10.00,INE737B01033,IT Consulting & Software,Equity
532175,,CYIENT,Cyient Limited,Active,A ,5.00,INE136B01020,IT Consulting & Software,Equity
532221,,SONATSOFTW,SONATA SOFTWARE LTD.,Active,A ,1.00,INE269A01021,IT Consulting & Software,Equity
532268,,ACCELYA,Accelya Solutions India Ltd,Active,B ,10.00,INE793A01012,IT Consulting & Software,Equity
532281,,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2.00,INE860A01027,IT Consulting & Software,Equity
532341,,IZMO,IZMO Limited-$,Active,B ,10.00,INE848A01014,IT Consulting & Software,Equity
532365,,DSSL,DYNACONS SYSTEMS & SOLUTIONS LTD.,Active,B ,10.00,INE417B01040,IT Consulting & Software,Equity
532370,,RAMCOSYS,RAMCO SYSTEMS LTD.,Active,B ,10.00,INE246B01019,IT Consulting & Software,Equity
532400,,BSOFT,Birlasoft Ltd,Active,A ,2.00,INE836A01035,IT Consulting & Software,Equity
532466,,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Active,A ,5.00,INE881D01027,IT Consulting & Software,Equity
532540,,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A ,1.00,INE467B01029,IT Consulting & Software,Equity
532541,,NIITTECH,NIIT TECHNOLOGIES LTD.,Active,A ,10.00,INE591G01017,IT Consulting & Software,Equity
532628,,3IINFOTECH,3I INFOTECH LTD.,Active,B ,10.00,INE748C01020,IT Consulting & Software,Equity
532663,,SASKEN,Sasken Technologies Ltd,Active,B ,10.00,INE231F01020,IT Consulting & Software,Equity
532666,,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,Active,B ,1.00,INE512B01022,IT Consulting & Software,Equity
532735,,RSYSTEMINT,R Systems International Limited,Active,B ,1.00,INE411H01032,IT Consulting & Software,Equity
532755,,TECHM,TECH MAHINDRA LTD.,Active,A ,5.00,INE669C01036,IT Consulting & Software,Equity
532774,,INSPIRISYS,Inspirisys Solutions Ltd,Active,B ,10.00,INE020G01017,IT Consulting & Software,Equity
532819,,MINDTREE,MINDTREE LTD.,Active,A ,10.00,INE018I01017,IT Consulting & Software,Equity
532875,,ADSL,ALLIED DIGITAL SERVICES LTD.,Active,B ,5.00,INE102I01027,IT Consulting & Software,Equity
532951,,GSS,GSS INFOTECH LTD.,Active,B ,10.00,INE871H01011,IT Consulting & Software,Equity
533121,,EXPLEOSOL,Expleo Solutions Ltd,Active,B ,10.00,INE201K01015,IT Consulting & Software,Equity
533179,,PERSISTENT,PERSISTENT SYSTEMS LTD.,Active,A ,10.00,INE262H01013,IT Consulting & Software,Equity
533982,,TERASOFT,TERA SOFTWARE LTD.,Active,B ,10.00,INE482B01010,IT Consulting & Software,Equity
534659,,JOINTECAED,JOINTECA EDUCATION SOLUTIONS LTD.,Active,MT,10.00,INE131N01018,IT Consulting & Software,Equity
534758,,CIGNITI,CIGNITI TECHNOLOGIES LTD.,Active,B ,10.00,INE675C01017,IT Consulting & Software,Equity
535657,,OONE,OBJECTONE INFORMATION SYSTEMS LTD.,Active,X ,10.00,INE860E01011,IT Consulting & Software,Equity
535719,,QUEST,Quest Softech (India) Ltd,Active,X ,10.00,INE989J01017,IT Consulting & Software,Equity
536868,,INTELSOFT,Integra Telecommunication & Software Ltd,Active,XT,10.00,INE256F01019,IT Consulting & Software,Equity
538734,,CEINSYSTECH,Ceinsys Tech Ltd,Active,T ,10.00,INE016Q01014,IT Consulting & Software,Equity
538891,,MCLOUD,Magellanic Cloud Ltd,Active,X ,10.00,INE613C01018,IT Consulting & Software,Equity
538923,,SOFCOM,Sofcom Systems Ltd,Active,XT,10.00,INE499Q01012,IT Consulting & Software,Equity
539122,,BODHTREE,Bodhtree Consulting Ltd,Active,X ,10.00,INE104F01011,IT Consulting & Software,Equity
539289,,MJCO,Majesco Ltd,Active,B ,5.00,INE898S01029,IT Consulting & Software,Equity
539383,,MINFY,Mahaveer Infoway Ltd,Active,Z ,10.00,INE019D01016,IT Consulting & Software,Equity
539724,,HYPERSOFT,Hypersoft Technologies Ltd,Active,X ,10.00,INE039D01014,IT Consulting & Software,Equity
539843,,NINSYS,NINtec Systems Ltd,Active,M ,10.00,INE395U01014,IT Consulting & Software,Equity
540005,,LTI,Larsen & Toubro Infotech Ltd,Active,A ,1.00,INE214T01019,IT Consulting & Software,Equity
540143,,SAGARSOFT,Sagarsoft (India) Ltd,Active,X ,10.00,INE184B01012,IT Consulting & Software,Equity
540174,,SOUTHERNIN,Southern Infosys Ltd,Active,XT,10.00,INE298B01010,IT Consulting & Software,Equity
540654,,GSTL,Globalspace Technologies Ltd,Active,B ,10.00,INE632W01016,IT Consulting & Software,Equity
540900,,NEWGEN,Newgen Software Technologies Ltd,Active,B ,10.00,INE619B01017,IT Consulting & Software,Equity
541890,,SPACEINCUBA,Space Incubatrics Technologies Ltd,Active,XT,10.00,INE797Z01010,IT Consulting & Software,Equity
542117,,NETRIPPLES,Netripples Software Ltd,Active,XT,10.00,INE478B01018,IT Consulting & Software,Equity
542233,,TREJHARA,Trejhara Solutions Ltd,Active,B ,10.00,INE00CA01015,IT Consulting & Software,Equity
542333,,CESCVENTURE,CESC Ventures Ltd,Active,B ,10.00,INE425Y01011,IT Consulting & Software,Equity
