"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"JKIL","J.Kumar Infraprojects Limited","EQ","12-FEB-2008","5","1","INE576I01022","5","858.43","113.45"
"JKLAKSHMI","JK Lakshmi Cement Limited","EQ","19-JUN-2006","5","1","INE786A01032","5","3,226","274.15"
"JKPAPER","JK Paper Limited","EQ","16-JUN-2005","10","1","INE789E01012","10","1,731","97.10"
"JKTYRE","JK Tyre & Industries Limited","EQ","19-MAR-2007","2","1","INE573A01042","2","1,493","60.65"
"JMA","Jullundur Motor Agency (Delhi) Limited","EQ","16-MAR-2015","2","1","INE412C01023","2","63.07","21.15"
"JMCPROJECT","JMC Projects (India)  Limited","EQ","26-NOV-2007","2","1","INE890A01024","2","983.08","58.55"
"JMFINANCIL","JM Financial Limited","EQ","10-OCT-2006","1","1","INE780C01023","1","8,344","99.20"
"JMTAUTOLTD","JMT Auto Limited","EQ","02-APR-2007","1","1","INE988E01036","1","62.98","1.25"
"JOCIL","Jocil Limited","EQ","08-OCT-2008","10","1","INE839G01010","10","102.03","114.90"
"JPASSOCIAT","Jaiprakash Associates Limited","EQ","14-JUN-2004","2","1","INE455F01025","2","401.36","1.65"
"JPINFRATEC","Jaypee Infratech Limited","EQ","21-MAY-2010","10","1","INE099J01015","10","131.95","0.95"
"JPOLYINVST","Jindal Poly Investment and Finance Company Limited","EQ","11-NOV-2013","10","1","INE147P01019","10","11.19","10.65"
"JPPOWER","Jaiprakash Power Ventures Limited","EQ","18-APR-2005","10","1","INE351F01018","10","615.64","0.90"
"JSL","Jindal Stainless Limited","EQ","17-NOV-2003","2","1","INE220G01021","2","1,752","35.95"
"JSLHISAR","Jindal Stainless (Hisar) Limited","EQ","28-JAN-2016","2","1","INE455T01018","2","1,404","59.50"
"JSWENERGY","JSW Energy Limited","EQ","04-JAN-2010","10","1","INE121E01018","10","7,965","48.50"
"JSWHL","JSW Holdings Limited","EQ","21-JUN-2005","10","1","INE824G01012","10","2,183","1,966"
"JSWSTEEL","JSW Steel Limited","EQ","23-MAR-2005","1","1","INE019A01038","1","54,025","223.50"
"JTEKTINDIA","Jtekt India Limited","EQ","12-JAN-2004","1","1","INE643A01035","1","1,683","68.85"
"JUBILANT","Jubilant Life Sciences Limited","EQ","16-JUN-2003","1","1","INE700A01033","1","7,061","443.25"
"JUBLFOOD","Jubilant Foodworks Limited","EQ","08-FEB-2010","10","1","INE797F01012","10","21,686","1,643"
"JUBLINDS","Jubilant Industries Limited","EQ","14-FEB-2011","10","1","INE645L01011","10","146.79","106.90"
"JUMPNET","Jump Networks Limited","EQ","19-AUG-2019","5","1","INE974C01022","5","541.78","54.20"
"JUSTDIAL","Just Dial Limited","EQ","05-JUN-2013","10","1","INE599M01018","10","2,879","443.55"
"JVLAGRO","JVL Agro Industries Limited","BZ","17-JUN-2011","1","1","INE430G01026","1","4.20","0.25"
"JYOTHYLAB","Jyothy Labs Limited","EQ","19-DEC-2007","1","1","INE668F01031","1","4,577","124.65"
"JYOTISTRUC","Jyoti Structures Limited","BZ","19-JUL-1995","2","1","INE197A01024","2","18.07","1.65"
"KABRAEXTRU","Kabra Extrusion Technik Limited","EQ","06-SEP-1995","5","1","INE900B01029","5","186.30","58.40"
"KAJARIACER","Kajaria Ceramics Limited","EQ","01-JUN-2004","1","1","INE217B01036","1","8,380","527.20"
"KAKATCEM","Kakatiya Cement Sugar & Industries Limited","EQ","13-DEC-1995","10","1","INE437B01014","10","108.62","139.80"
"KALPATPOWR","Kalpataru Power Transmission Limited","EQ","15-DEC-2000","2","1","INE220B01022","2","4,552","294.20"
"KALYANI","Kalyani Commercials Limited","BE","13-FEB-2017","10","1","INE610E01010","10","",""
"KALYANIFRG","Kalyani Forge Limited","BE","20-DEC-2007","10","1","INE314G01014","10","42.19","115.90"
"KAMATHOTEL","Kamat Hotels (I) Limited","EQ","29-MAY-1996","10","1","INE967C01018","10","62.25","26.40"
"KAMDHENU","Kamdhenu Limited","EQ","09-MAY-2006","10","1","INE390H01012","10","169.26","59.30"
"KANANIIND","Kanani Industries Limited","EQ","14-DEC-2011","1","1","INE879E01037","1","16.32","1.65"
