"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"MBLINFRA","MBL Infrastructures Limited","EQ","11-JAN-2010","10","1","INE912H01013","10","35.09","3.35"
"MCDHOLDING","McDowell Holdings Limited","EQ","30-MAY-2007","10","1","INE836H01014","10","20.36","14.55"
"MCDOWELL-N","United Spirits Limited","EQ","27-SEP-2001","2","1","INE854D01024","2","44,194","608.20"
"MCLEODRUSS","Mcleod Russel India Limited","EQ","29-JUL-2005","5","1","INE942G01012","5","28.20","2.70"
"MCX","Multi Commodity Exchange of India Limited","EQ","09-MAR-2012","10","1","INE745G01035","10","6,314","1,238"
"MEGASOFT","Megasoft Limited","EQ","19-JUL-2007","10","1","INE933B01012","10","30.32","6.85"
"MEGH","Meghmani Organics Limited","EQ","28-JUN-2007","1","1","INE974H01013","1","1,264","49.70"
"MELSTAR","Melstar Information Technologies Limited","BZ","07-MAR-2000","10","1","INE817A01019","10","5.71","4.00"
"MENONBE","Menon Bearings Limited","EQ","09-MAR-2015","1","1","INE071D01033","1","226.12","40.35"
"MEP","MEP Infrastructure Developers Limited","EQ","06-MAY-2015","10","1","INE776I01010","10","559.51","30.50"
"MERCATOR","Mercator Limited","EQ","20-JUN-2005","1","1","INE934B01028","1","19.66","0.65"
"METALFORGE","Metalyst Forgings Limited","EQ","23-AUG-1995","10","1","INE425A01011","10","19.16","4.40"
"METKORE","Metkore Alloys & Industries Limited","BZ","30-JUN-2008","2","1","INE592I01029","2","1.76","0.25"
"METROPOLIS","Metropolis Healthcare Limited","EQ","15-APR-2019","2","1","INE112L01020","2","8,812","1,741"
"MFSL","Max Financial Services Limited","EQ","17-MAY-2000","2","1","INE180A01020","2","13,521","501.70"
"MGL","Mahanagar Gas Limited","EQ","01-JUL-2016","10","1","INE002S01010","10","9,636","975.50"
"MHRIL","Mahindra Holidays & Resorts India Limited","EQ","16-JUL-2009","10","1","INE998I01010","10","2,671","200.00"
"MIC","MIC Electronics Limited","EQ","30-MAY-2007","2","1","INE287C01029","2","12.11","0.55"
"MIDHANI","Mishra Dhatu Nigam Limited","EQ","04-APR-2018","10","1","INE099Z01011","10","4,083","217.95"
"MINDACORP","Minda Corporation Limited","EQ","16-OCT-2014","2","1","INE842C01021","2","2,064","90.85"
"MINDAIND","Minda Industries Limited","EQ","02-FEB-2007","2","1","INE405E01023","2","8,883","338.75"
"MINDTECK","Mindteck (India) Limited","EQ","02-AUG-2016","10","1","INE110B01017","10","41.12","16.05"
"MINDTREE","MindTree Limited","EQ","07-MAR-2007","10","1","INE018I01017","10","14,665","891.10"
"MIRCELECTR","MIRC Electronics Limited","EQ","24-MAY-2004","1","1","INE831A01028","1","160.51","6.95"
"MIRZAINT","Mirza International Limited","EQ","28-APR-1999","2","1","INE771A01026","2","557.62","46.35"
"MMFL","MM Forgings Limited","EQ","20-DEC-2006","10","1","INE227C01017","10","839.25","347.65"
"MMP","MMP Industries Limited","EQ","09-JAN-2020","10","1","INE511Y01018","10","211.10","83.10"
"MMTC","MMTC Limited","EQ","09-APR-2012","1","1","INE123F01029","1","2,123","14.15"
"MODIRUBBER","Modi Rubber Limited","BE","07-FEB-1996","10","1","INE832A01018","10","60.60","24.20"
"MOHITIND","Mohit Industries Limited","EQ","14-MAR-2013","10","1","INE954E01012","10","5.45","3.85"
"MOHOTAIND","Mohota Industries Limited","EQ","10-APR-1996","10","100","INE313D01013","10","10.44","7.10"
"MOIL","MOIL Limited","EQ","15-DEC-2010","10","1","INE490G01020","10","2,652","111.75"
"MOLDTECH","Mold-Tek Technologies Limited","EQ","07-JUL-2016","2","1","INE835B01035","2","111.82","40.00"
"MOLDTKPAC","Mold-Tek Packaging Limited","EQ","23-FEB-2015","5","1","INE893J01029","5","634.09","228.70"
"MONTECARLO","Monte Carlo Fashions Limited","EQ","19-DEC-2014","10","1","INE950M01013","10","364.88","176.00"
"MORARJEE","Morarjee Textiles Limited","EQ","14-SEP-2012","7","1","INE161G01027","7","39.97","11.00"
"MOREPENLAB","Morepen Laboratories Limited","EQ","24-NOV-1999","2","1","INE083A01026","2","452.10","10.05"
"MOTHERSUMI","Motherson Sumi Systems Limited","EQ","14-AUG-1996","1","1","INE775A01035","1","28,342","89.75"
"MOTILALOFS","Motilal Oswal Financial Services Limited","EQ","11-SEP-2007","1","1","INE338I01027","1","10,716","723.75"
"MOTOGENFIN","The Motor & General Finance Limited","EQ","08-FEB-1995","10","1","INE861B01015","10","56.74","29.30"
"MPHASIS","MphasiS Limited","EQ","04-JUN-2004","10","1","INE356A01018","10","14,519","778.45"
"MPSLTD","MPS Limited","EQ","21-JAN-2002","10","1","INE943D01017","10","539.15","289.60"
"MRF","MRF Limited","EQ","18-SEP-1996","10","1","INE883A01011","10","26,962","63,590"
"MRO-TEK","MRO-TEK Realty Limited","BE","01-NOV-2000","5","1","INE398B01018","5","51.18","27.40"
"MRPL","Mangalore Refinery and Petrochemicals Limited","EQ","07-JAN-2005","10","1","INE103A01014","10","6,485","37.00"
"MSPL","MSP Steel & Power Limited","EQ","18-JUL-2005","10","1","INE752G01015","10","169.58","4.40"
"MSTCLTD","Mstc Limited","EQ","29-MAR-2019","10","1","INE255X01014","10","873.66","124.10"
"MTEDUCARE","MT Educare Limited","EQ","12-APR-2012","10","1","INE472M01018","10","64.28","8.90"
"MTNL","Mahanagar Telephone Nigam Limited","EQ","17-FEB-1999","10","1","INE153A01019","10","437.85","6.95"
"MUKANDENGG","Mukand Engineers Limited","EQ","28-JUN-2000","10","1","INE022B01014","10","11.19","8.90"
"MUKANDLTD","Mukand Limited","EQ","23-FEB-2004","10","1","INE304A01026","10","320.28","22.65"
"MUKTAARTS","Mukta Arts Limited","EQ","12-SEP-2000","5","1","INE374B01019","5","57.02","25.25"
"MUNJALAU","Munjal Auto Industries Limited","EQ","19-JUL-2006","2","1","INE672B01032","2","303.00","30.30"
"MUNJALSHOW","Munjal Showa Limited","EQ","12-MAY-2003","2","1","INE577A01027","2","347.76","86.95"
"MURUDCERA","Murudeshwar Ceramics Limited","EQ","28-MAY-2004","10","1","INE692B01014","10","58.99","12.40"
"MUTHOOTCAP","Muthoot Capital Services Limited","EQ","24-AUG-2015","10","1","INE296G01013","10","727.80","442.50"
"MUTHOOTFIN","Muthoot Finance Limited","EQ","06-MAY-2011","10","1","INE414G01012","10","33,431","833.75"
"NACLIND","NACL Industries Limited","EQ","07-APR-2017","1","1","INE295D01020","1","481.03","28.70"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","EQ","15-JUN-2016","1","1","INE454M01024","1","209.32","3.50"
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","EQ","18-SEP-2007","5","1","INE245I01016","5","8.77","6.95"
"NAGREEKEXP","Nagreeka Exports Limited","EQ","18-JUN-2007","5","1","INE123B01028","5","13.69","10.95"
"NAHARCAP","Nahar Capital and Financial Services Limited","EQ","11-MAR-2008","5","1","INE049I01012","5","100.52","60.05"
"NAHARINDUS","Nahar Industrial Enterprises Limited","EQ","15-DEC-2005","10","1","INE289A01011","10","82.67","20.75"
"NAHARPOLY","Nahar Poly Films Limited","EQ","23-MAR-2007","5","1","INE308A01027","5","80.40","32.70"
"NAHARSPING","Nahar Spinning Mills Limited","EQ","23-MAR-2007","5","1","INE290A01027","5","115.05","31.90"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ","06-NOV-2017","10","1","INE298J01013","10","18,237","297.95"
"NATCOPHARM","Natco Pharma Limited","EQ","27-DEC-1995","2","1","INE987B01026","2","10,709","588.20"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","EQ","28-JAN-2014","10","1","INE448G01010","10","501.14","263.70"
"NATIONALUM","National Aluminium Company Limited","EQ","28-APR-1999","5","1","INE139A01034","5","5,643","30.25"
"NATNLSTEEL","National Steel And Agro Industries Limited","EQ","26-SEP-2002","10","1","INE088B01015","10","7.34","1.65"
"NAUKRI","Info Edge (India) Limited","EQ","21-NOV-2006","10","1","INE663F01024","10","31,220","2,548"
"NAVINFLUOR","Navin Fluorine International Limited","EQ","01-JUN-2007","2","1","INE048G01026","2","7,205","1,456"
"NAVKARCORP","Navkar Corporation Limited","EQ","09-SEP-2015","10","1","INE278M01019","10","340.93","22.65"
"NAVNETEDUL","Navneet Education Limited","EQ","08-FEB-1995","2","1","INE060A01024","2","1,774","77.50"
"NBCC","NBCC (India) Limited","EQ","12-APR-2012","1","1","INE095N01031","1","3,627","20.15"
"NBIFIN","N. B. I. Industrial Finance Company Limited","EQ","23-NOV-2016","5","1","INE365I01020","5","386.75","1,574"
"NBVENTURES","Nava Bharat Ventures Limited","EQ","03-APR-1996","2","1","INE725A01022","2","1,056","59.95"
"NCC","NCC Limited","EQ","14-OCT-2003","2","1","INE868B01028","2","1,637","26.85"
"NCLIND","NCL Industries Limited","EQ","03-APR-2007","10","1","INE732C01016","10","310.07","68.55"
"NDGL","Naga Dhunseri Group Limited","EQ","29-AUG-2016","10","1","INE756C01015","10","50.00","500.00"
"NDL","Nandan Denim Limited","EQ","23-MAR-2012","10","1","INE875G01030","10","86.25","17.95"
"NDTV","New Delhi Television Limited","EQ","19-MAY-2004","4","1","INE155G01029","4","186.01","28.85"
"NECCLTD","North Eastern Carrying Corporation Limited","EQ","02-MAR-2016","10","1","INE553C01016","10","23.59","4.70"
"NECLIFE","Nectar Lifesciences Limited","EQ","18-JUL-2005","1","1","INE023H01027","1","224.30","10.00"
"NELCAST","Nelcast Limited","EQ","27-JUN-2007","2","1","INE189I01024","2","274.05","31.50"
"NELCO","NELCO Limited","EQ","28-MAY-2003","10","1","INE045B01015","10","448.30","196.45"
"NEOGEN","Neogen Chemicals Limited","BE","08-MAY-2019","10","1","INE136S01016","10","994.40","426.15"
"NESCO","Nesco Limited","EQ","08-APR-2008","2","1","INE317F01035","2","4,613","654.75"
"NESTLEIND","Nestle India Limited","EQ","08-JAN-2010","10","1","INE239A01016","10","154,733","16,049"
"NETWORK18","Network18 Media & Investments Limited","EQ","02-FEB-2007","5","1","INE870H01013","5","2,371","22.65"
"NEULANDLAB","Neuland Laboratories Limited","EQ","13-OCT-2008","10","1","INE794A01010","10","468.61","365.25"
"NEWGEN","Newgen Software Technologies Limited","EQ","29-JAN-2018","10","1","INE619B01017","10","1,249","178.55"
"NEXTMEDIA","Next Mediaworks Limited","EQ","04-APR-2001","10","1","INE747B01016","10","37.46","5.60"
"NFL","National Fertilizers Limited","EQ","28-DEC-2006","10","1","INE870D01012","10","1,062","21.65"
"NH","Narayana Hrudayalaya Ltd.","EQ","06-JAN-2016","10","1","INE410P01011","10","6,285","307.55"
"NHPC","NHPC Limited","EQ","01-SEP-2009","10","1","INE848E01016","10","21,195","21.10"
"NIACL","The New India Assurance Company Limited","EQ","13-NOV-2017","5","1","INE470Y01017","5","16,406","99.55"
"NIBL","NRB Industrial Bearings Limited","EQ","09-APR-2013","2","1","INE047O01014","2","16.01","6.60"
"NIITLTD","NIIT Limited","EQ","16-AUG-2004","2","1","INE161A01038","2","1,500","89.10"
"NIITTECH","NIIT Technologies Limited","EQ","30-AUG-2004","10","1","INE591G01017","10","10,159","1,626"
"NILAINFRA","Nila Infrastructures Limited","EQ","21-MAY-2015","1","1","INE937C01029","1","149.68","3.80"
"NILASPACES","Nila Spaces Limited","EQ","28-DEC-2018","1","1","INE00S901012","1","31.51","0.80"
"NILKAMAL","Nilkamal Limited","EQ","01-NOV-1995","10","1","INE310A01015","10","1,952","1,308"
"NIPPOBATRY","Indo-National Limited","EQ","06-OCT-1999","10","1","INE567A01010","10","182.55","486.80"
"NIRAJISPAT","Niraj Ispat Industries Limited","BE","27-OCT-2016","10","1","INE326T01011","10","",""
"NITCO","Nitco Limited","EQ","21-MAR-2006","10","1","INE858F01012","10","122.88","17.10"
"NITINFIRE","Nitin Fire Protection Industries Limited","BZ","05-JUN-2007","2","1","INE489H01020","2","10.23","0.35"
"NITINSPIN","Nitin Spinners Limited","EQ","02-FEB-2006","10","1","INE229H01012","10","219.54","39.05"
"NKIND","NK Industries Limited","EQ","07-JUL-1995","10","1","INE542C01019","10","6.91","11.50"
"NLCINDIA","NLC India Limited","EQ","23-AUG-2000","10","1","INE589A01014","10","6,531","47.10"
"NMDC","NMDC Limited","EQ","03-MAR-2008","1","1","INE584A01023","1","24,878","81.25"
"NOCIL","NOCIL Limited","EQ","17-JAN-1996","10","1","INE163A01018","10","1,474","89.00"
"NOIDATOLL","Noida Toll Bridge Company Limited","EQ","06-DEC-2002","10","1","INE781B01015","10","61.45","3.30"
"NORBTEAEXP","Norben Tea & Exports Limited","EQ","26-JUN-1996","10","1","INE369C01017","10","4.52","3.85"
"NRAIL","N R Agarwal Industries Limited","EQ","05-APR-2017","10","1","INE740D01017","10","310.85","182.65"
"NRBBEARING","NRB Bearing Limited","EQ","08-MAR-2000","2","1","INE349A01021","2","797.97","82.35"
"NSIL","Nalwa Sons Investments Limited","EQ","17-NOV-2003","10","1","INE023A01030","10","371.01","721.80"
"NTL","Neueon Towers Limited","EQ","11-SEP-2013","10","1","INE333I01036","10","1.98","0.35"
"NTPC","NTPC Limited","EQ","05-NOV-2004","10","1","INE733E01010","10","101,963","103.05"
"NUCLEUS","Nucleus Software Exports Limited","EQ","19-DEC-2002","10","1","INE096B01018","10","774.95","266.85"
"NXTDIGITAL","NXTDIGITAL LIMITED","EQ","24-APR-2007","10","1","INE353A01023","10","620.16","301.70"
"OAL","Oriental Aromatics Limited","EQ","11-JUL-2019","5","1","INE959C01023","5","570.43","169.50"
"OBEROIRLTY","Oberoi Realty Limited","EQ","20-OCT-2010","10","1","INE093I01010","10","17,638","485.10"
"OCCL","Oriental Carbon & Chemicals Limited","EQ","27-JAN-2016","10","1","INE321D01016","10","833.47","809.50"
"OFSS","Oracle Financial Services Software Limited","EQ","28-JUN-2002","5","1","INE881D01027","5","20,406","2,377"
"OIL","Oil India Limited","EQ","30-SEP-2009","10","1","INE274J01014","10","9,207","84.90"
"OILCOUNTUB","Oil Country Tubular Limited","EQ","30-AUG-1995","10","1","INE591A01010","10","14.62","3.30"
"OISL","OCL Iron and Steel Limited","EQ","01-AUG-2008","1","1","INE196J01019","1","31.76","2.25"
"OLECTRA","Olectra Greentech Limited","EQ","20-MAR-2002","4","1","INE260D01016","4","714.10","87.00"
"OMAXAUTO","Omax Autos Limited","EQ","20-FEB-2003","10","1","INE090B01011","10","62.57","29.25"
"OMAXE","Omaxe Limited","EQ","09-AUG-2007","10","1","INE800H01010","10","2,853","156.00"
"OMKARCHEM","Omkar Speciality Chemicals Limited","EQ","10-FEB-2011","10","1","INE474L01016","10","6.17","3.00"
"OMMETALS","OM Metals Infraprojects Limited","EQ","17-JUN-2011","1","1","INE239D01028","1","156.49","16.25"
"ONELIFECAP","Onelife Capital Advisors Limited","EQ","17-OCT-2011","10","1","INE912L01015","10","7.28","5.45"
"ONEPOINT","One Point One Solutions Limited","EQ","09-MAY-2019","10","1","INE840Y01011","10","58.93","23.50"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","19-JUL-1995","5","1","INE213A01029","5","90,201","71.70"
"ONMOBILE","OnMobile Global Limited","EQ","19-FEB-2008","10","1","INE809I01019","10","202.41","19.15"
"ONWARDTEC","Onward Technologies Limited","EQ","07-MAR-2001","10","1","INE229A01017","10","89.76","55.95"
"OPTIEMUS","Optiemus Infracom Limited","EQ","08-AUG-2017","10","1","INE350C01017","10","160.47","18.70"
"OPTOCIRCUI","Opto Circuits (India) Limited","EQ","25-AUG-2003","10","1","INE808B01016","10","70.65","2.35"
"ORBTEXP","Orbit Exports Limited","EQ","05-NOV-2013","10","1","INE231G01010","10","197.29","72.05"
"ORICONENT","Oricon Enterprises Limited","EQ","24-JUL-2015","2","1","INE730A01022","2","208.87","13.30"
"ORIENTABRA","Orient Abrasives Limited","EQ","15-DEC-2005","1","1","INE569C01020","1","160.26","13.40"
"ORIENTALTL","Oriental Trimex Limited","EQ","07-MAR-2007","10","1","INE998H01012","10","24.24","8.50"
"ORIENTBANK","Oriental Bank of Commerce","EQ","02-JUL-1997","10","1","INE141A01014","10","5,988","43.70"
"ORIENTBELL","Orient Bell Limited","EQ","14-FEB-2007","10","1","INE607D01018","10","131.41","92.00"
"ORIENTCEM","Orient Cement Limited","EQ","12-JUL-2013","1","1","INE876N01018","1","1,515","73.95"
"ORIENTELEC","Orient Electric Limited","EQ","14-MAY-2018","1","1","INE142Z01019","1","4,870","229.50"
"ORIENTHOT","Oriental Hotels Limited","EQ","27-AUG-1998","1","1","INE750A01020","1","350.05","19.60"
"ORIENTLTD","Orient Press Limited","EQ","03-MAR-2010","10","1","INE609C01024","10","82.65","82.65"
"ORIENTPPR","Orient Paper & Industries Limited","EQ","29-MAR-1995","1","1","INE592A01026","1","354.35","16.70"
"ORIENTREF","Orient Refractories Limited","EQ","12-MAR-2012","1","1","INE743M01012","1","2,176","181.15"
"ORISSAMINE","The Orissa Minerals Development Company Limited","EQ","29-SEP-2010","1","1","INE725E01024","1","998.34","1,664"
"ORTEL","Ortel Communications Limited","BZ","19-MAR-2015","10","1","INE849L01019","10","1.65","0.50"
"ORTINLABSS","Ortin Laboratories Limited","EQ","21-AUG-2015","10","1","INE749B01012","10","12.87","7.60"
"OSWALAGRO","Oswal Agro Mills Limited","EQ","29-MAR-1995","10","1","INE142A01012","10","73.16","5.45"
"PAEL","PAE Limited","EQ","12-APR-1995","10","1","INE766A01018","10","2.08","2.00"
"PAGEIND","Page Industries Limited","EQ","16-MAR-2007","10","1","INE761H01022","10","23,416","21,001"
"PAISALO","Paisalo Digital Limited","EQ","17-OCT-2011","10","1","INE420C01042","10","820.47","194.00"
"PALASHSECU","Palash Securities Limited","EQ","28-JUL-2017","10","1","INE471W01019","10","22.51","22.50"
"PALREDTEC","Palred Technologies Limited","EQ","09-MAY-2016","10","1","INE218G01033","10","13.24","13.60"
"PANACEABIO","Panacea Biotec Limited","EQ","17-APR-1996","1","1","INE922B01023","1","707.14","115.45"
"PANACHE","Panache Digilife Limited","EQ","06-JAN-2020","10","1","INE895W01019","10","59.40","49.50"
"PANAMAPET","Panama Petrochem Limited","EQ","30-SEP-2011","2","1","INE305C01029","2","253.47","41.90"
"PAPERPROD","Huhtamaki PPL Limited","EQ","01-OCT-2004","2","1","INE275B01026","2","1,944","257.45"
"PARABDRUGS","Parabolic Drugs Limited","BZ","01-JUL-2010","10","1","INE618H01016","10","5.26","0.85"
"PARACABLES","Paramount Communications Limited","EQ","03-JAN-2007","2","1","INE074B01023","2","98.78","5.75"
"PARAGMILK","Parag Milk Foods Limited","EQ","19-MAY-2016","10","1","INE883N01014","10","619.08","73.60"
"PARSVNATH","Parsvnath Developers Limited","EQ","30-NOV-2006","5","1","INE561H01026","5","73.98","1.70"
"PATELENG","Patel Engineering Limited","EQ","24-FEB-2005","1","1","INE244B01030","1","510.48","12.95"
"PATINTLOG","Patel Integrated Logistics Limited","EQ","11-JAN-2008","10","1","INE529D01014","10","22.24","13.45"
"PATSPINLTD","Patspin India Limited","EQ","10-MAY-1995","10","1","INE790C01014","10","7.27","2.35"
"PCJEWELLER","PC Jeweller Limited","EQ","27-DEC-2012","10","1","INE785M01013","10","517.45","13.10"
"PDMJEPAPER","Pudumjee Paper Products Limited","EQ","30-MAR-2016","1","1","INE865T01018","1","132.93","14.00"
"PDSMFL","PDS Multinational Fashions Limited","EQ","21-OCT-2014","10","1","INE111Q01013","10","1,080","414.65"
"PEARLPOLY","Pearl Polymers Limited","EQ","11-OCT-1995","10","1","INE844A01013","10","23.81","14.15"
"PEL","Piramal Enterprises Limited","EQ","08-FEB-1995","2","1","INE140A01024","2","27,675","1,227"
"PENIND","Pennar Industries Limited","EQ","25-NOV-2010","5","1","INE932A01024","5","324.55","22.00"
"PENINLAND","Peninsula Land Limited","EQ","08-FEB-1995","2","1","INE138A01028","2","93.53","3.35"
"PERSISTENT","Persistent Systems Limited","EQ","06-APR-2010","10","1","INE262H01013","10","5,283","686.35"
"PETRONENGG","Petron Engineering Construction Limited","EQ","27-DEC-1995","10","1","INE742A01019","10","3.96","5.25"
"PETRONET","Petronet LNG Limited","EQ","26-MAR-2004","10","1","INE347G01014","10","33,218","221.45"
"PFC","Power Finance Corporation Limited","EQ","23-FEB-2007","10","1","INE134E01011","10","27,140","102.80"
"PFIZER","Pfizer Limited","EQ","28-APR-1999","10","1","INE182A01018","10","19,567","4,277"
"PFOCUS","Prime Focus Limited","EQ","20-JUN-2006","1","1","INE367G01038","1","1,275","42.60"
"PFS","PTC India Financial Services Limited","EQ","30-MAR-2011","10","1","INE560K01014","10","712.93","11.10"
"PGEL","PG Electroplast Limited","EQ","26-SEP-2011","10","1","INE457L01011","10","98.04","50.20"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","EQ","07-JUL-2004","10","1","INE179A01014","10","32,648","10,058"
"PGHL","Procter & Gamble Health Limited","EQ","24-APR-1996","10","1","INE199A01012","10","6,550","3,946"
"PGIL","Pearl Global Industries Limited","EQ","15-FEB-2007","10","1","INE940H01014","10","278.55","128.60"
"PHILIPCARB","Phillips Carbon Black Limited","EQ","29-MAR-1995","2","1","INE602A01023","2","1,556","90.30"
"PHOENIXLTD","The Phoenix Mills Limited","EQ","23-APR-2007","2","1","INE211B01039","2","12,613","821.95"
"PIDILITIND","Pidilite Industries Limited","EQ","29-MAR-1995","1","1","INE318A01026","1","86,349","1,700"
"PIIND","PI Industries Limited","EQ","15-JUN-2011","1","1","INE603J01030","1","20,858","1,509"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","EQ","08-DEC-2015","10","1","INE417C01014","10","1,180","1,493"
"PILITA","PIL ITALICA LIFESTYLE LIMITED","EQ","07-OCT-2013","1","1","INE600A01035","1","106.93","4.55"
"PIONDIST","Pioneer Distilleries Limited","BE","15-JUN-2010","10","1","INE889E01010","10","164.70","123.00"
"PIONEEREMB","Pioneer Embroideries Limited","EQ","16-MAY-2006","10","1","INE156C01018","10","49.77","19.95"
"PITTIENG","Pitti Engineering Limited","EQ","02-FEB-2007","5","1","INE450D01021","5","112.82","35.20"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","BE","19-AUG-2015","10","1","INE431F01018","10","31.53","101.85"
"PLASTIBLEN","Plastiblends India Limited","EQ","28-DEC-2006","5","1","INE083C01022","5","420.77","161.90"
"PNB","Punjab National Bank","EQ","24-APR-2002","2","1","INE160A01022","2","25,906","38.45"
"PNBGILTS","PNB Gilts Limited","EQ","18-SEP-2000","10","1","INE859A01011","10","494.13","27.45"
"PNBHOUSING","PNB Housing Finance Limited","EQ","07-NOV-2016","10","1","INE572E01012","10","4,516","268.50"
"PNC","Pritish Nandy Communications Limited","EQ","11-DEC-2000","10","1","INE392B01011","10","17.29","11.95"
"PNCINFRA","PNC Infratech Limited","EQ","26-MAY-2015","2","1","INE195J01029","2","4,284","167.00"
"PODDARHOUS","Poddar Housing and Development Limited","EQ","10-APR-2017","10","1","INE888B01018","10","155.33","245.95"
"PODDARMENT","Poddar Pigments Limited","EQ","22-NOV-2016","10","1","INE371C01013","10","150.82","142.15"
"POKARNA","Pokarna Limited","EQ","07-JUL-2016","2","1","INE637C01025","2","229.12","73.90"
"POLYCAB","Polycab India Limited","EQ","16-APR-2019","10","1","INE455K01017","10","14,963","1,005"
"POLYMED","Poly Medicure Limited","EQ","07-DEC-2011","5","1","INE205C01021","5","2,582","292.55"
"POLYPLEX","Polyplex Corporation Limited","EQ","11-APR-2003","10","1","INE633B01018","10","1,441","450.60"
"PONNIERODE","Ponni Sugars (Erode) Limited","EQ","16-APR-2002","10","1","INE838E01017","10","104.49","121.50"
"POWERGRID","Power Grid Corporation of India Limited","EQ","05-OCT-2007","10","1","INE752E01010","10","94,901","181.40"
"POWERMECH","Power Mech Projects Limited","EQ","26-AUG-2015","10","1","INE211R01019","10","848.96","577.10"
"PPAP","PPAP Automotive Limited","EQ","11-JAN-2008","10","1","INE095I01015","10","213.71","152.65"
"PPL","Prakash Pipes Limited","EQ","14-JUN-2019","10","1","INE050001010","10","88.00","43.10"
"PRABHAT","Prabhat Dairy Limited","EQ","21-SEP-2015","10","1","INE302M01033","10","637.34","65.25"
"PRADIP","Pradip Overseas Limited","EQ","05-APR-2010","10","1","INE495J01015","10","1.70","0.35"
"PRAENG","Prajay Engineers Syndicate Limited","EQ","02-JAN-2007","10","1","INE505C01016","10","37.77","5.40"
"PRAJIND","Praj Industries Limited","EQ","11-OCT-1995","2","1","INE074A01025","2","1,511","82.50"
"PRAKASH","Prakash Industries Limited","EQ","10-MAY-1995","10","1","INE603A01013","10","584.87","34.15"
"PRAKASHSTL","Prakash Steelage Limited","BE","25-AUG-2010","1","1","INE696K01024","1","3.50","0.20"
"PRAXIS","Praxis Home Retail Limited","BE","31-JAN-2018","5","1","INE546Y01022","5","161.84","65.70"
"PRECAM","Precision Camshafts Limited","EQ","08-FEB-2016","10","1","INE484I01029","10","309.65","32.60"
"PRECOT","Precot Meridian Limited","EQ","19-AUG-2005","10","1","INE283A01014","10","33.06","27.55"
"PRECWIRE","Precision Wires India Limited","EQ","06-SEP-1995","5","1","INE372C01029","5","244.80","105.85"
"PREMEXPLN","Premier Explosives Limited","EQ","17-JUN-2016","10","1","INE863B01011","10","94.35","87.75"
"PREMIER","Premier Limited","EQ","03-APR-1996","10","1","INE342A01018","10","4.86","1.60"
"PREMIERPOL","Premier Polyfilm Limited","EQ","13-DEC-1995","5","1","INE309M01012","5","44.62","21.30"
"PRESSMN","Pressman Advertising Limited","EQ","05-JAN-2005","2","1","INE980A01023","2","43.48","18.50"
"PRESTIGE","Prestige Estates Projects Limited","EQ","27-OCT-2010","10","1","INE811K01011","10","11,298","281.85"
"PRICOLLTD","Pricol Limited","EQ","10-FEB-2017","1","1","INE726V01018","1","350.27","36.95"
"PRIMESECU","Prime Securities Limited","EQ","17-JUN-2005","5","1","INE032B01021","5","89.09","33.60"
"PRINCEPIPE","Prince Pipes And Fittings Limited","EQ","30-DEC-2019","10","1","INE689W01016","10","1,452","132.00"
"PROSEED","Proseed India Limited","EQ","16-OCT-2012","1","1","INE217G01027","1","2.40","0.25"
"PROZONINTU","Prozone Intu Properties Limited","EQ","12-SEP-2012","2","1","INE195N01013","2","215.93","14.15"
"PRSMJOHNSN","Prism Johnson Limited","EQ","20-AUG-2003","10","1","INE010A01011","10","2,461","48.90"
"PSB","Punjab & Sind Bank","EQ","30-DEC-2010","10","1","INE608A01012","10","932.40","13.30"
"PSL","PSL Limited","EQ","29-MAY-2003","10","1","INE474B01017","10","6.25","0.50"
"PSPPROJECT","PSP Projects Limited","EQ","29-MAY-2017","10","1","INE488V01015","10","1,646","457.25"
"PTC","PTC India Limited","EQ","07-APR-2004","10","1","INE877F01012","10","1,249","42.20"
"PTL","PTL Enterprises Limited","EQ","29-JAN-2007","2","1","INE034D01031","2","209.16","31.60"
"PUNJABCHEM","Punjab Chemicals & Crop Protection Limited","EQ","08-MAR-2007","10","1","INE277B01014","10","510.20","416.15"
"PUNJLLOYD","Punj Lloyd Limited","BZ","06-JAN-2006","2","1","INE701B01021","2","28.53","0.85"
"PURVA","Puravankara Limited","EQ","30-AUG-2007","5","1","INE323I01011","5","1,117","47.10"
"PVR","PVR Limited","EQ","04-JAN-2006","10","1","INE191H01014","10","7,861","1,531"
"QUESS","Quess Corp Limited","EQ","12-JUL-2016","10","1","INE615P01015","10","7,002","474.70"
"QUICKHEAL","Quick Heal Technologies Limited","EQ","18-FEB-2016","10","1","INE306L01010","10","619.56","96.50"
"RADAAN","Radaan Mediaworks India Limited","EQ","27-FEB-2003","2","1","INE874F01027","2","5.96","1.10"
