Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,marketcap,price,Pros,Cons
500209,,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity,"273,570",642.35,,
500463,,AGCNET,AGC Networks Limited,Active,T ,10.00,INE676A01019,IT Consulting & Software,Equity,813.52,273.50,,
504067,,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,IT Consulting & Software,Equity,"2,354",104.45,,
